Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNTT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,Sili
,,,sample,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005625,11-6-2018 13:37,GOERE2,Authorised,-999,15.51,0,0,0,8.03,-350,0,0,-999,#N/B,30.02,7.14,85.88,2.1,60,1015,14657.8525,1704.5356,0.0052,0.0477,0.0453,7.5,1.9799,0.1101
2018005626,19-7-2018 8:41,GOERE2,Authorised,-999,20.21,0,0,0,8.16,-350,0,0,-999,#N/B,29.75,4.5,59.15,4.5,135,1018,16937.0801,2337.626,0.0069,0.0146,0.0789,18.4,1.7771,0.2209
2018005627,16-8-2018 17:29,GOERE2,Authorised,-999,20.11,0,0,0,8.12,-350,0,0,-999,#N/B,30.58,6.45,85,6,187,1013.8,17246.6855,2523.2598,0.006,0.0147,0.0551,22.5,1.6562,0.2075
2018005628,12-9-2018 15:11,GOERE2,Authorised,-999,18.24,0,0,0,8.76,-350,0,0,-999,#N/B,31.02,4.73,60.46,5.4,11,1021.7,14468.6748,1678.828,0.0089,0.0265,0.0855,23.6,0.7863,0.2777
2018005629,17-10-2018 14:20,GOERE2,Authorised,-999,16.77,0,0,0,9.27,-350,0,0,-999,#N/B,30.98,5.15,63.92,6,270,1018.3,19640.2441,2645.1147,0.0032,0.0165,0.028,9.3,0.7347,0.1078
2018005630,12-11-2018 16:16,GOERE2,Authorised,-999,11.15,0,0,0,8.03,-350,0,0,-999,#N/B,31.52,8.04,91.8,8.4,196,1012.1,12811.8389,2305.6379,0.008,0.0713,0.1505,18,1.4318,0.2633
2018005631,10-12-2018 19:55,GOERE2,Authorised,-999,8.33,0,0,0,7.83,-350,0,0,-999,#N/B,32.55,8.55,89.98,20.9,252,1023.8,18571.1895,2626.999,0.0068,0.1389,0.1138,17.4,1.1446,0.2542
2018005632,23-1-2018 15:48,GOERE6,Authorised,-999,6.05,0,0,0,8.33,-350,0,0,-999,#N/B,30.15,7.65,75.14,15.1,195,1015.1,8910.0566,1118.9041,0.0202,1.8967,0.1252,32.2,2.1093,2.0868
2018005633,13-2-2018 11:20,GOERE6,Authorised,-999,5.4,0,0,0,8.05,-350,0,0,-999,#N/B,25.31,9.54,89.27,14,180,1007.1,14459.5781,1964.1254,0.009,1.0049,0.0652,26.1,-999,1.0549
2018005634,15-3-2018 11:37,GOERE6,Authorised,-999,4.33,0,0,0,6.89,-350,0,0,-999,#N/B,31.4,10.51,99.91,8.4,115,992.8,13011.5889,2233.9358,0.0074,0.5984,0.0317,2.5,1.3299,0.398
