Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK,Cl,SO4,NO2 N,NO3 N,NH4 N,PO4 P,DOC,SiO2 Si
,,,,714VP001,714VP002,714VP003,714VP004,714VP007,714VP008,714VP009,714VP017,714VP018,714VP019,714VP023,714VP024,714VP037,714VP038,714VP303,714VP304,714VP306,114MB405,114MB412,114MB101,114MB116,114MB102,114MB103,114MB049,114MB104
,,,,DIMSLS,°C,DIMSLS,DIMSLS,DIMSLS,DIMSLS,cm,DIMSLS,DIMSLS,/m,mS,DIMSLS,mS,DIMSLS,m/s,gradn,hPa,mg/L,mg/L,mg/L,mg/L,mg/L,ug/l,mg/L,mg/L
2018005640,12-9-2018 15:39,GOERE6,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,15244,1855,0.0059,0.05,0.0818,24.3,1.65,0.286
2018005641,17-10-2018 14:54,GOERE6,Available,-999,16.51,0,0,0,9.26,-350,0,0,-999,#N/B,31.31,5.54,68.64,6.2,268,1018.4,19382,2599,0.0028,0.02,0.0143,7.0,0.61,0.085
2018005642,12-11-2018 15:36,GOERE6,Available,-999,11.51,0,0,0,8.04,-350,0,0,-999,#N/B,31.45,7.04,87.9,7.2,202,1012.1,10278,1898,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005643,10-12-2018 19:21,GOERE6,Available,-999,8.29,0,0,0,7.81,-350,0,0,-999,#N/B,32.25,8.78,92.07,21.1,287,1023.7,18324,2604,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005644,22-1-2018 13:29,NOORDWK2,Authorised,#N/B,5.62,0,0,0,7.94,-350,0,0,-999,#N/B,25.63,8.84,83.48,6.9,293,1007,14983,2042,0.0108,0.95,0.1065,31.3,1.87,1.106
2018005645,14-2-2018 14:02,NOORDWK2,Authorised,-999,5.42,0,0,0,8.07,-350,0,0,1.0929,#N/B,27.19,9.49,90.03,14,200,1012,15113,2173,0.0110,0.79,0.0516,26.0,1.36,0.877
2018005646,14-3-2018 9:00,NOORDWK2,Authorised,#N/B,4.9,0,0,0,7.62,-350,0,0,0.9489,#N/B,28.43,10.37,97.99,4.4,224,1010.7,16432,2292,0.0086,0.58,0.1201,3.6,1.22,0.392
2018005647,16-4-2018 13:00,NOORDWK2,Authorised,#N/B,8.11,0,0,0,8.14,-350,0,0,-999,#N/B,28.25,10.07,105.2,9.8,272,1015.1,16947,2293,0.0052,0.60,0.0186,5.3,1.42,0.201
2018005648,14-5-2018 13:12,NOORDWK2,Authorised,-999,12.19,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,30,9.79,110,3,360,1025,17511,2485,0.0050,0.16,0.0232,6.9,1.57,0.108
2018005649,12-6-2018 1:52,NOORDWK2,Authorised,#N/B,16.3,-999,-999,-999,8.25,-350,-999,-999,-999,#N/B,30.21,8.76,107.4,6,60,1012,17318,2470,0.0037,0.02,0.0123,3.7,1.78,0.033
2018005650,16-7-2018 13:23,NOORDWK2,Authorised,#N/B,19.56,0,0,0,8.1,-350,0,0,-999,#N/B,30.5,5.87,79.07,1,2,1012.6,17140,2396,0.0079,0.02,0.0504,4.9,2.36,0.049
2018005651,16-8-2018 13:02,NOORDWK2,Authorised,-999,20.28,0,0,0,8.1,-350,0,0,-999,#N/B,30.07,5.82,77,6,185,1013.3,16975,2460,0.0078,0.04,0.1473,25.7,1.55,0.533
2018005652,10-9-2018 14:00,NOORDWK2,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,13749,1580,0.0055,0.06,0.0447,20.0,1.43,0.238
2018005653,15-10-2018 13:21,NOORDWK2,Available,#N/B,16.11,0,0,0,9.15,-350,0,0,-999,#N/B,30.1,6.37,77.75,9.5,235,1009.8,16856,2337,0.0051,0.10,0.0292,11.8,1.59,0.189
2018005654,15-11-2018 8:35,NOORDWK2,Available,-999,11.92,0,0,0,8.06,-350,0,0,-999,#N/B,30.72,8.12,92.5,6.2,141,1023,12984,2523,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005655,12-12-2018 14:45,NOORDWK2,Available,#N/B,8.64,0,0,0,7.9,-350,0,0,1.82726,#N/B,30.83,8.42,88.23,13.2,123,1024.7,17403,2465,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005656,22-1-2018 14:04,NOORDWK10,Authorised,#N/B,5.89,0,0,0,7.94,-350,0,0,-999,#N/B,28.56,9.34,90.51,8.3,297,1007.6,16232,2281,0.0085,0.73,0.0657,26.1,#N/B,0.861
2018005657,14-2-2018 13:10,NOORDWK10,Authorised,#N/B,5.48,0,0,0,8.07,-350,0,0,0.5908,#N/B,29.32,9.39,90.52,13.6,180,1012,17146,2354,0.0103,0.61,0.0370,24.1,1.37,0.627
2018005658,14-3-2018 9:44,NOORDWK10,Authorised,#N/B,4.31,0,0,0,7.413,-350,0,0,0.9489,#N/B,30.58,8.47,97.99,4.4,224,1010.7,16986,2533,0.0057,0.34,0.0254,1.9,1.10,0.146
2018005659,16-4-2018 14:34,NOORDWK10,Authorised,#N/B,7.57,0,0,0,8.15,-350,0,0,-999,#N/B,30.32,9.79,105.5,9.1,273,1015.4,18293,2445,0.0042,0.41,0.0114,5.5,1.24,0.100
2018005660,14-5-2018 13:42,NOORDWK10,Authorised,#N/B,11.83,-999,-999,-999,8.27,-350,-999,-999,-999,#N/B,30.71,9.46,106.51,4,360,1026,17622,2540,0.0039,0.14,0.0137,4.0,1.48,0.081
2018005661,12-6-2018 1:21,NOORDWK10,Authorised,#N/B,15.59,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,31.08,8.67,105.54,7.9,60,1012,18923,2456,0.0019,0.00,0.0189,3.8,2.03,0.013
2018005662,16-7-2018 14:32,NOORDWK10,Authorised,#N/B,18.87,0,0,0,8.21,-350,0,0,0.5161,#N/B,31.02,5.01,64.84,1,2,1012.3,17362,2440,0.0018,0.01,0.0116,1.6,1.80,0.007
2018005663,16-8-2018 12:10,NOORDWK10,Authorised,#N/B,20.29,0,0,0,8.16,-350,0,0,-999,#N/B,31.09,7.25,93,6,185,1013.3,17765,2509,0.0049,0.04,0.0500,10.8,1.72,0.275
2018005664,10-9-2018 14:40,NOORDWK10,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,17509,2421,0.0012,0.01,0.0256,7.8,0.51,0.086
2018005665,15-10-2018 14:54,NOORDWK10,Available,#N/B,16.24,0,0,0,9.23,-350,0,0,-999,#N/B,30.83,6.26,76.97,8.2,208,1010.1,19014,2645,0.0027,0.05,0.0115,6.5,1.46,0.117
