Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK
2018005689,15-10-2018 0:00,NOORDWK70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005690,12-11-2018 0:00,NOORDWK70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005691,10-12-2018 0:00,NOORDWK70,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005692,31-1-2018 7:23,TERSLG10,Available,#N/B,6.28,0,0,0,8.11,-350,0,0,-999,#N/B,30.6,9.23,91.5,17.4,230,1000
2018005693,20-2-2018 18:23,TERSLG10,Available,#N/B,5.08,-999,-999,-999,8.04,-350,-999,-999,-999,#N/B,31.3,9.66,94.7,10,207,1020
2018005694,13-3-2018 23:52,TERSLG10,Available,#N/B,3.56,0,0,0,7.94,-350,0,0,-999,#N/B,33,10.9,103,4.2,111,1010
2018005695,16-4-2018 4:52,TERSLG10,Available,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005696,15-5-2018 20:13,TERSLG10,Available,#N/B,11.7,-999,-999,-999,8.29,-350,-999,-999,-999,#N/B,31.9,10,113,1,360,1030
2018005697,11-6-2018 0:00,TERSLG10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005698,16-7-2018 0:00,TERSLG10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005699,13-8-2018 0:00,TERSLG10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005700,10-9-2018 0:00,TERSLG10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005701,15-10-2018 0:00,TERSLG10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005702,12-11-2018 0:00,TERSLG10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
