Id text,Sampled date,Meetpunt,Status,ZICHT,T,KLEUR,GEUR,VUIL,pH,SENSHTE,SCHUIM,OLE,E,GELDHD,SALNT,O2,%O2,WINDSHD,WINDRTG,LUCHTDK
2018005614,16-7-2018 0:00,SCHOUWN10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005615,13-8-2018 0:00,SCHOUWN10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005616,10-9-2018 0:00,SCHOUWN10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005617,15-10-2018 0:00,SCHOUWN10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005618,12-11-2018 0:00,SCHOUWN10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005619,10-12-2018 0:00,SCHOUWN10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005620,23-1-2018 15:17,GOERE2,Available,-999,5.84,0,0,0,8.33,-350,0,0,-999,#N/B,30,9.02,88.2,15.4,202,1020
2018005621,13-2-2018 11:59,GOERE2,Available,-999,5.4,0,0,0,8.05,-350,0,0,-999,#N/B,31,9.27,90.2,14,180,1010
2018005622,15-3-2018 11:06,GOERE2,Available,-999,4.33,0,0,0,6.97,-350,0,0,-999,#N/B,31.5,10.5,100,11.5,275,993
2018005623,18-4-2018 18:28,GOERE2,Available,-999,8.51,0,0,0,8.59,-350,0,0,-999,#N/B,31.1,11.5,126,8.8,52,1030
2018005624,16-5-2018 13:27,GOERE2,Available,-999,12.5,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,30.2,8.02,90.7,5,10,1030
2018005625,11-6-2018 0:00,GOERE2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005626,16-7-2018 0:00,GOERE2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005627,13-8-2018 0:00,GOERE2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005628,10-9-2018 0:00,GOERE2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005629,15-10-2018 0:00,GOERE2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005630,12-11-2018 0:00,GOERE2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005631,10-12-2018 0:00,GOERE2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005632,23-1-2018 15:48,GOERE6,Available,-999,6.05,0,0,0,8.33,-350,0,0,-999,#N/B,30.1,7.65,75.1,15.1,195,1020
2018005633,13-2-2018 11:20,GOERE6,Available,-999,5.4,0,0,0,8.05,-350,0,0,-999,#N/B,25.3,9.54,89.3,14,180,1010
2018005634,15-3-2018 11:37,GOERE6,Available,-999,4.33,0,0,0,6.89,-350,0,0,-999,#N/B,31.4,10.5,99.9,8.4,115,993
2018005635,18-4-2018 17:48,GOERE6,Available,-999,8.26,0,0,0,8.58,-350,0,0,-999,#N/B,30.8,11.4,125,7.6,28,1030
2018005636,16-5-2018 13:59,GOERE6,Available,-999,12.2,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,29.8,8.09,91.1,5,10,1030
2018005637,11-6-2018 0:00,GOERE6,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005638,16-7-2018 0:00,GOERE6,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005639,13-8-2018 0:00,GOERE6,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005640,10-9-2018 0:00,GOERE6,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005641,15-10-2018 0:00,GOERE6,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005642,12-11-2018 0:00,GOERE6,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005643,10-12-2018 0:00,GOERE6,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005644,22-1-2018 13:29,NOORDWK2,Available,#N/B,5.62,0,0,0,7.94,-350,0,0,-999,#N/B,25.6,8.84,83.5,6.9,293,1010
2018005645,14-2-2018 14:02,NOORDWK2,Available,-999,5.42,0,0,0,8.07,-350,0,0,1.09,#N/B,27.2,9.49,90,14,200,1010
2018005646,14-3-2018 9:00,NOORDWK2,Available,#N/B,4.9,0,0,0,7.62,-350,0,0,0.949,#N/B,28.4,10.4,98,4.4,224,1010
2018005647,16-4-2018 13:00,NOORDWK2,Available,#N/B,8.11,0,0,0,8.14,-350,0,0,-999,#N/B,28.2,10.1,105,9.8,272,1020
2018005648,14-5-2018 13:12,NOORDWK2,Available,-999,12.2,-999,-999,-999,8.26,-350,-999,-999,-999,#N/B,30,9.79,110,3,360,1020
2018005649,11-6-2018 0:00,NOORDWK2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005650,16-7-2018 0:00,NOORDWK2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005651,13-8-2018 0:00,NOORDWK2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005652,10-9-2018 0:00,NOORDWK2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005653,15-10-2018 0:00,NOORDWK2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005654,12-11-2018 0:00,NOORDWK2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005655,10-12-2018 0:00,NOORDWK2,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005656,22-1-2018 14:04,NOORDWK10,Available,#N/B,5.89,0,0,0,7.94,-350,0,0,-999,#N/B,28.6,9.34,90.5,8.3,297,1010
2018005657,14-2-2018 13:10,NOORDWK10,Available,#N/B,5.48,0,0,0,8.07,-350,0,0,0.591,#N/B,29.3,9.39,90.5,13.6,180,1010
2018005658,14-3-2018 9:44,NOORDWK10,Available,#N/B,4.31,0,0,0,7.413,-350,0,0,0.949,#N/B,30.6,8.47,98,4.4,224,1010
2018005659,16-4-2018 14:34,NOORDWK10,Available,#N/B,7.57,0,0,0,8.15,-350,0,0,-999,#N/B,30.3,9.79,106,9.1,273,1020
2018005660,14-5-2018 13:42,NOORDWK10,Available,#N/B,11.8,-999,-999,-999,8.27,-350,-999,-999,-999,#N/B,30.7,9.46,107,4,360,1030
2018005661,11-6-2018 0:00,NOORDWK10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005662,16-7-2018 0:00,NOORDWK10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005663,13-8-2018 0:00,NOORDWK10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005664,10-9-2018 0:00,NOORDWK10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005665,15-10-2018 0:00,NOORDWK10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005666,12-11-2018 0:00,NOORDWK10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005667,10-12-2018 0:00,NOORDWK10,Unavailable,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B,#N/B
2018005668,22-1-2018 14:54,NOORDWK20,Available,#N/B,6.05,0,0,0,7.97,-350,0,0,-999,#N/B,31.5,9.27,91.9,10.3,290,1010
2018005669,14-2-2018 12:07,NOORDWK20,Available,#N/B,5.59,0,0,0,8.09,-350,0,0,0.443,#N/B,31.5,9.29,91.1,15,155,1010
2018005670,14-3-2018 10:38,NOORDWK20,Available,#N/B,4.34,0,0,0,7.36,-350,0,0,0.351,#N/B,30.3,10.5,99,4.3,148,1010
